ci,name,phone,address
9791468,Delia Franco,0989791468,"Calle Yegros 345, Villarrica"
1802579,Walter Acuña,0981802579,"Barrio Barrero Grande, Asuncion"
2913680,Cynthia Montiel,0982913680,"Av. Primer Presidente 2100, Asuncion"
3024791,Daniel Barrios,0983024791,"Ruta 6 km 40, San Alberto"
4135802,Flavia Zarate,0984135802,"Calle Lillo 670, Pedro Juan Caballero"
5246913,Tomas Arguello,0985246913,"Barrio Las Palmas, Capiata"
6357024,Marina Recalde,0986357024,"Av. Artigas 3300, Lambare"
7468135,Sergio Bobadilla,0987468135,"Calle Teniente Vera 120, Encarnacion"
8579246,Andrea Cano,0988579246,"Barrio San Antonio, Asuncion"
9680357,Felipe Guillen,0989680357,"Ruta 1 km 12, Luque"
1791468,Patricia Aquino,0981791468,"Av. San Blas 4500, Ciudad del Este"
2802579,Marcos Cabral,0982802579,"Calle Manduara 780, Asuncion"
3913680,Lidia Coronel,0983913680,"Barrio San Roque, Fernando de la Mora"
4024791,Ismael Bernal,0984024791,"Av. Eusebio Ayala 2200, Asuncion"
5135802,Graciela Gamarra,0985135802,"Ruta 2 km 22, Capiata"
6246913,Eduardo Silvero,0986246913,"Calle Caballero 1100, Concepcion"
7357024,Rosana Frutos,0987357024,"Barrio San Rafael, Asuncion"
8468135,Nicolas Britos,0988468135,"Av. Republica 890, San Lorenzo"
9579246,Claudia Moran,0989579246,"Calle Curupaity 456, Asuncion"
1680357,Alejandro Figueredo,0981680357,"Barrio Villa Morra, Asuncion"
2791468,Blanca Arriola,0982791468,"Ruta 7 km 20, Mbutuy"
3802579,Mauricio Galeano,0983802579,"Av. Mcal Lopez 5800, Asuncion"
4913680,Ines Perez,0984913680,"Calle Jose Berges 234, Caaguazu"
5024791,Ruben Rios,0985024791,"Barrio San Isidro, Lambare"
6135802,Olga Campos,0986135802,"Av. Artigas 780, Asuncion"
7246913,Luis Benitez,0987246913,"Ruta 1 km 68, Quiindy"
8357024,Alicia Zalazar,0988357024,"Calle Tacuary 1200, Asuncion"
9468135,Gonzalo Velazquez,0989468135,"Barrio Zeballos Cue, Asuncion"
1579246,Lorenza Insaurralde,0981579246,"Av. Mcal Estigarribia 890, Caaguazu"
2680357,Hector Guerrero,0982680357,"Calle Mariscal Lopez 340, Coronel Oviedo"
3791468,Analiz Colman,0983791468,"Barrio Vista Alegre, Asuncion"
4802579,Bernardo Oviedo,0984802579,"Ruta 2 km 42, Ypacarai"
5913680,Nancy Torres,0985913680,"Av. Santisima Trinidad 2600, Asuncion"
6024791,Santiago Rivarola,0986024791,"Calle Alonsito 890, Villa Elisa"
7135802,Fanny Vega,0987135802,"Barrio Santa Librada, Asuncion"
8246913,Guillermo Cubas,0988246913,"Av. Boggiani 4500, Asuncion"
9357024,Vanesa Esquivel,0989357024,"Ruta 7 km 35, Minga Guazu"
1468135,Osvaldo Cespedes,0981468135,"Calle Iturbe 560, Encarnacion"
2579246,Marisol Gimenez,0982579246,"Barrio Tcnel Bogado, Asuncion"
3680357,Francisco Melgarejo,0983680357,"Av. Carlos A Lopez 2300, Itaugua"
4791468,Elsa Medina,0984791468,"Calle Curupayty 780, San Lorenzo"
5802579,Rolando Acosta,0985802579,"Barrio Jara, Fernando de la Mora"
6913680,Yolanda Dominguez,0986913680,"Av. Defensores del Chaco 2100, Asuncion"
7024791,Arnaldo Espinola,0987024791,"Ruta 1 km 30, Carapegua"
8135802,Cecilia Morinigo,0988135802,"Calle Azara 340, Asuncion"
9246913,Hugo Soto,0989246913,"Barrio Pinozinho, Ciudad del Este"
9357911,Ramona Gimenez,0981357911,"Barrio Mburucuya, Asuncion"
